ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Stepanek R.,Mathieu P.H.,74,146,4,6,7,5,6,2,,,,,2,1,Completed,2.25,1.571,2.36,1.57,2.25,1.6,1.85,1.65,2.47,1.599
57,Lyon,Grand Prix de Lyon,05/10/04,International,Indoor,Carpet,1st Round,3,Ferrero J.C.,Sargsian S.,13,59,6,3,7,6,,,,,,,2,0,Completed,1.333,3,1.35,3.1,1.37,2.92,1.35,2.5,1.472,2.87
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,1st Round,3,Johansson J.,Monaco J.,14,70,6,4,6,3,,,,,,,2,0,Completed,1.222,3.75,1.18,4.5,1.2,4.25,1.25,3,1.225,4.75
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,1st Round,3,Melzer J.,Llodra M.,36,40,7,6,6,4,,,,,,,2,0,Completed,2.25,1.571,2.2,1.67,2.25,1.6,2,1.55,2.37,1.637
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,1st Round,3,Benneteau J.,Nadal R.,75,50,6,3,6,0,,,,,,,2,0,Completed,2.625,1.444,2.5,1.5,2.6,1.45,2.3,1.4,2.52,1.581
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,1st Round,3,Arazi H.,Schuettler R.,41,15,6,4,1,6,6,3,,,,,2,1,Completed,2.25,1.571,2.3,1.6,2.53,1.48,2.2,1.45,2.47,1.599
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,2nd Round,3,Soderling R.,Lopez F.,47,30,4,6,6,3,6,3,,,,,2,1,Completed,1.833,1.833,1.77,2,1.95,1.8,1.8,1.7,1.8,2.05
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,2nd Round,3,Bjorkman J.,Mirnyi M.,49,61,6,7,7,6,6,4,,,,,2,1,Completed,1.833,1.833,1.9,1.85,1.85,1.9,1.75,1.75,1.8,2.05
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,2nd Round,3,Malisse X.,Stepanek R.,58,74,4,6,7,6,6,0,,,,,2,1,Completed,1.571,2.25,1.65,2.2,1.7,2.1,1.7,1.8,1.625,2.4
57,Lyon,Grand Prix de Lyon,06/10/04,International,Indoor,Carpet,2nd Round,3,Spadea V.,Ljubicic I.,25,29,6,4,7,6,,,,,,,2,0,Completed,2,1.727,2.2,1.65,2.15,1.65,1.75,1.75,2.42,1.617
57,Lyon,Grand Prix de Lyon,07/10/04,International,Indoor,Carpet,2nd Round,3,Youzhny M.,Calleri A.,32,56,6,3,6,7,7,6,,,,,2,1,Completed,1.444,2.625,1.48,2.6,1.53,2.4,1.4,2.3,1.474,2.84
57,Lyon,Grand Prix de Lyon,07/10/04,International,Indoor,Carpet,2nd Round,3,Ferrer D.,Ferrero J.C.,46,13,3,6,7,5,6,3,,,,,2,1,Completed,3.4,1.3,3.4,1.3,3.35,1.3,2.7,1.3,3.75,1.308
57,Lyon,Grand Prix de Lyon,07/10/04,International,Indoor,Carpet,2nd Round,3,Johansson J.,Benneteau J.,14,75,6,3,6,3,,,,,,,2,0,Completed,1.3,3.4,1.3,3.4,1.32,3.22,1.35,2.5,1.377,3.25
57,Lyon,Grand Prix de Lyon,07/10/04,International,Indoor,Carpet,2nd Round,3,Melzer J.,Arazi H.,36,41,4,6,7,6,6,1,,,,,2,1,Completed,1.8,1.909,1.65,2.2,1.65,2.15,1.65,1.85,1.752,2.13
57,Lyon,Grand Prix de Lyon,08/10/04,International,Indoor,Carpet,Quarterfinals,3,Malisse X.,Youzhny M.,58,32,6,3,6,4,,,,,,,2,0,Completed,2.25,1.571,2.2,1.65,2.3,1.6,1.9,1.6,2.35,1.654
57,Lyon,Grand Prix de Lyon,08/10/04,International,Indoor,Carpet,Quarterfinals,3,Soderling R.,Johansson J.,47,14,6,3,6,4,,,,,,,2,0,Completed,2.375,1.533,2.4,1.55,2.6,1.45,2.2,1.45,2.78,1.505
57,Lyon,Grand Prix de Lyon,08/10/04,International,Indoor,Carpet,Quarterfinals,3,Ferrer D.,Bjorkman J.,46,49,6,2,6,4,,,,,,,2,0,Completed,2.375,1.533,2.6,1.48,2.35,1.55,2,1.55,2.88,1.476
57,Lyon,Grand Prix de Lyon,08/10/04,International,Indoor,Carpet,Quarterfinals,3,Spadea V.,Melzer J.,25,36,1,6,6,1,7,6,,,,,2,1,Completed,1.571,2.25,1.65,2.2,1.6,2.3,1.65,1.85,1.606,2.46
57,Lyon,Grand Prix de Lyon,09/10/04,International,Indoor,Carpet,Semifinals,3,Malisse X.,Ferrer D.,58,46,6,4,6,2,,,,,,,2,0,Completed,1.615,2.2,1.58,2.3,1.6,2.25,1.55,2.1,1.629,2.41
57,Lyon,Grand Prix de Lyon,09/10/04,International,Indoor,Carpet,Semifinals,3,Soderling R.,Spadea V.,47,25,6,2,6,4,,,,,,,2,0,Completed,1.667,2.1,1.64,2.2,1.7,2.1,1.55,2.1,1.645,2.37
57,Lyon,Grand Prix de Lyon,10/10/04,International,Indoor,Carpet,The Final,3,Soderling R.,Malisse X.,47,58,6,2,3,6,6,4,,,,,2,1,Completed,1.66,2.1,1.65,2.2,1.7,2.1,1.75,1.85,1.73,2.2
