Name,Team,Position,Points,Assists,Minutes,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Two Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Turnovers,Steals,Blocks,Personal Fouls,Points per Match,Turnovers per Match,Free Throws Attempted per Match,Field Goals Attempted per Match,Assists per Match,Blocks per Match,Personal Fouls per Match,Rebounds per Match,Three Points Made per Match,Free Throws Made per Match,Field Goals Made per Match,Steals per Match,Three Points Attempted per Match,Games Played
"Nwora, Jordan",Forward,0,0,00:00,0,0,0.459,0,0,0.365,0.544,0,0,0.864,0,0,0,0,0,6.273,0.682,1,4.955,1.136,0.091,1.182,2.045,0.864,0.864,2.273,0.318,2.364,0
"Alvarado, Jose",Guard,204,53,480:10,71,172,0.413,39,100,0.39,0.444,23,35,0.657,62,22,29,10,45,6.8,0.733,1.167,5.733,1.767,0.333,1.5,2.067,1.3,0.767,2.367,0.967,3.333,30
"Walker IV, Lonnie",Guard-Forward,42,6,55:39,17,31,0.548,7,14,0.5,0.588,1,1,1,10,2,2,2,2,14,0.667,0.333,10.333,2,0.667,0.667,3.333,2.333,0.333,5.667,0.667,4.667,3
"Claxton, Nic",Forward-Center,8,0,20:50,3,5,0.6,0,0,0.333,0.6,2,2,1,6,1,1,2,4,8,1,2,5,0,2,4,6,0,2,3,1,0,1
"Gilgeous-Alexander, Shai",Guard-Forward,1472,299,1615:09,514,943,0.545,56,161,0.348,0.586,388,435,0.892,265,102,104,36,120,31.319,2.17,9.255,20.064,6.362,0.766,2.553,5.638,1.191,8.255,10.936,2.213,3.426,47
"Porter Jr., Michael",Forward,779,66,1543:38,300,632,0.475,132,333,0.396,0.562,47,61,0.77,346,51,23,35,98,15.898,1.041,1.245,12.898,1.347,0.714,2,7.061,2.694,0.959,6.122,0.469,6.796,49
"Knox, Kevin",Forward,23,2,59:11,10,18,0.556,3,8,0.375,0.7,0,0,0.909,14,2,2,1,6,11.5,1,0,9,1,0.5,3,7,1.5,0,5,1,4,2
"Washington, PJ",Forward,552,89,1161:57,208,459,0.453,77,225,0.342,0.56,59,79,0.747,204,60,33,31,104,13.8,1.5,1.975,11.475,2.225,0.775,2.6,5.1,1.925,1.475,5.2,0.825,5.625,40
"Richards, Nick",Center,354,31,929:49,137,199,0.688,0,0,,0.688,80,107,0.748,287,36,12,51,101,9.568,0.973,2.892,5.378,0.838,1.378,2.73,7.757,0,2.162,3.703,0.324,0,37
"Alexander-Walker, Nickeil",Guard,330,125,1104:36,119,277,0.43,68,184,0.37,0.548,24,33,0.727,87,44,42,26,91,6.875,0.917,0.688,5.771,2.604,0.542,1.896,1.813,1.417,0.5,2.479,0.875,3.833,48
"Gilyard, Jacob",Guard,29,17,90:44,10,20,0.5,8,18,0.444,1,1,1,1,7,6,3,0,6,7.25,1.5,0.25,5,4.25,0,1.5,1.75,2,0.25,2.5,0.75,4.5,4
"Goodwin, Jordan",Guard,22,6,46:17,9,20,0.45,3,11,0.273,0.667,1,1,1,9,1,2,0,2,5.5,0.25,0.25,5,1.5,0,0.5,2.25,0.75,0.25,2.25,0.5,2.75,4
"Toppin, Obi",Forward,69,10,115:22,30,45,0.667,5,15,0.333,0.833,4,6,0.667,14,2,1,2,7,17.25,0.5,1.5,11.25,2.5,0.5,1.75,3.5,1.25,1,7.5,0.25,3.75,4
"Sarr, Olivier",Center,20,2,73:27,6,12,0.5,2,5,0.4,0.571,6,8,0.75,27,2,0,5,15,2,0.2,0.8,1.2,0.2,0.5,1.5,2.7,0.2,0.6,0.6,0,0.5,10
"Livers, Isaiah",Forward,8,0,26:03,3,5,0.6,2,4,0.5,1,0,0,0.667,2,0,0,0,2,8,0,0,5,0,0,2,2,2,0,3,0,4,1
"Poole, Jordan",Guard,741,152,1315:14,266,643,0.414,88,282,0.312,0.493,121,139,0.871,99,99,46,16,137,16.467,2.2,3.089,14.289,3.378,0.356,3.044,2.2,1.956,2.689,5.911,1.022,6.267,45
"Jackson Jr., Jaren",Forward,65,9,111:59,26,59,0.441,8,20,0.4,0.462,5,10,0.5,23,10,2,4,10,16.25,2.5,2.5,14.75,2.25,1,2.5,5.75,2,1.25,6.5,0.5,5,4
"Tillman, Xavier",Forward,21,7,46:18,9,15,0.6,3,5,0.6,0.6,0,0,0.419,9,2,2,2,6,10.5,1,0,7.5,3.5,1,3,4.5,1.5,0,4.5,1,2.5,2
"Mamukelashvili, Sandro",Forward-Center,68,25,177:18,24,59,0.407,8,32,0.25,0.593,12,16,0.75,50,8,4,8,19,2.615,0.308,0.615,2.269,0.962,0.308,0.731,1.923,0.308,0.462,0.923,0.154,1.231,26
"Cain, Jamal",Forward,80,3,208:35,29,66,0.439,8,25,0.32,0.512,14,19,0.737,29,4,9,4,16,5.714,0.286,1.357,4.714,0.214,0.286,1.143,2.071,0.571,1,2.071,0.643,1.786,14
"Gillespie, Collin",Guard,30,9,96:36,11,24,0.458,4,13,0.308,0.636,4,5,0.8,5,5,5,0,12,2.143,0.357,0.357,1.714,0.643,0,0.857,0.357,0.286,0.286,0.786,0.357,0.929,14
"Samuels, Jermaine",Forward,12,2,44:53,5,8,0.625,0,2,0,0.833,2,2,1,10,0,1,1,3,1.333,0,0.222,0.889,0.222,0.111,0.333,1.111,0,0.222,0.556,0.111,0.222,9
"Reed, Paul",Forward,10,1,43:03,5,10,0.5,0,0,0.37,0.5,0,0,0.711,10,1,1,1,6,2.5,0.25,0,2.5,0.25,0.25,1.5,2.5,0,0,1.25,0.25,0,4
"Bouyea, Jamaree",Guard,0,0,19:38,0,5,0,0,2,0,0,0,0,,2,5,0,0,2,0,1.667,0,1.667,0,0,0.667,0.667,0,0,0,0,0.667,3
"Kispert, Corey",Forward,518,67,996:35,184,384,0.479,87,239,0.364,0.669,63,82,0.768,102,48,15,8,68,11.261,1.043,1.783,8.348,1.457,0.174,1.478,2.217,1.891,1.37,4,0.326,5.196,46
"Nowell, Jaylen",Guard,0,0,01:38,0,0,0.4,0,0,0.174,0.563,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Brown, Troy",Guard-Forward,154,35,405:33,52,118,0.441,31,84,0.369,0.618,19,22,0.864,71,18,8,2,25,4.278,0.5,0.611,3.278,0.972,0.056,0.694,1.972,0.861,0.528,1.444,0.222,2.333,36
"Umude, Stanley",Guard,20,1,42:55,3,6,0.5,3,5,0.6,0,11,12,0.917,12,1,2,3,6,6.667,0.333,4,2,0.333,1,2,4,1,3.667,1,0.667,1.667,3
"Rice, Jabari",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Jeffries, DaQuan",Forward,11,2,29:51,5,12,0.417,1,5,0.2,0.571,0,2,0,5,1,0,0,2,1.1,0.1,0.2,1.2,0.2,0,0.2,0.5,0.1,0,0.5,0,0.5,10
"Taylor, Terry",Forward,0,0,00:00,0,0,0.538,0,0,0.143,0.684,0,0,1,0,0,0,0,0,1.765,0.412,0.059,1.529,0.353,0.118,0.765,1.529,0.059,0.059,0.824,0.235,0.412,0
"Bamba, Mo",Center,0,0,00:00,0,0,0.524,0,0,0.455,0.55,0,0,0.667,0,0,0,0,0,4.231,0.615,0.808,3.154,0.538,0.962,1.346,3.346,0.385,0.538,1.654,0.423,0.846,0
"Williams, Robert",Center-Forward,8,0,19:45,3,4,0.75,0,0,,0.75,2,3,0.667,10,1,2,1,1,8,1,3,4,0,1,1,10,0,2,3,2,0,1
"Robinson, Jerome",Guard,4,2,26:19,0,9,0,0,5,0,0,4,6,0.667,3,0,0,1,1,0.571,0,0.857,1.286,0.286,0.143,0.143,0.429,0,0.571,0,0,0.714,7
"Robinson, Mitchell",Center-Forward,130,15,613:20,58,98,0.592,0,0,,0.592,14,38,0.368,216,21,32,27,40,6.19,1,1.81,4.667,0.714,1.286,1.905,10.286,0,0.667,2.762,1.524,0,21
"Simons, Anfernee",Guard,0,0,00:00,0,0,0.439,0,0,0.387,0.486,0,0,0.904,0,0,0,0,0,22.885,2.5,4,18.154,5.192,0.154,2.115,3.462,3.346,3.615,7.962,0.423,8.654,0
"Reddish, Cam",Forward-Guard,35,3,88:11,10,21,0.476,9,15,0.6,0.167,6,8,0.75,6,1,6,1,6,8.75,0.25,2,5.25,0.75,0.25,1.5,1.5,2.25,1.5,2.5,1.5,3.75,4
"Bol, Bol",Center-Forward,0,0,00:00,0,0,0.739,0,0,0.6,0.778,0,0,0.8,0,0,0,0,0,3.417,0.5,0.417,1.917,0.5,0.5,0.833,2.25,0.25,0.333,1.417,0.25,0.417,0
"Johnson, Keldon",Forward-Guard,750,147,1377:18,272,602,0.452,79,234,0.338,0.524,127,163,0.779,266,74,40,14,107,16.667,1.644,3.622,13.378,3.267,0.311,2.378,5.911,1.756,2.822,6.044,0.889,5.2,45
"Jones, Tre",Guard,408,247,1106:17,161,321,0.502,28,94,0.298,0.586,58,65,0.892,132,59,43,5,58,9.488,1.372,1.512,7.465,5.744,0.116,1.349,3.07,0.651,1.349,3.744,1,2.186,43
"Herro, Tyler",Guard,615,123,984:40,228,527,0.433,97,240,0.404,0.456,62,74,0.838,157,67,29,2,44,21.207,2.31,2.552,18.172,4.241,0.069,1.517,5.414,3.345,2.138,7.862,1,8.276,29
"Quickley, Immanuel",Guard,650,147,1102:10,219,498,0.44,96,234,0.41,0.466,116,134,0.866,132,48,25,5,68,15.476,1.143,3.19,11.857,3.5,0.119,1.619,3.143,2.286,2.762,5.214,0.595,5.571,42
"Norris, Miles",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Smart, Ja'Vonte",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agbaji, Ochai",Guard,29,2,98:54,11,24,0.458,5,12,0.417,0.5,2,2,1,22,2,3,6,9,7.25,0.5,0.5,6,0.5,1.5,2.25,5.5,1.25,0.5,2.75,0.75,3,4
"Grimes, Quentin",Guard,327,52,909:31,113,286,0.395,77,212,0.363,0.486,24,34,0.706,88,21,30,3,66,7.267,0.467,0.756,6.356,1.156,0.067,1.467,1.956,1.711,0.533,2.511,0.667,4.711,45
"Dosunmu, Ayo",Guard,0,1,13:36,0,3,0,0,1,0,0,0,0,0.804,2,0,0,0,1,0,0,0,3,1,0,1,2,0,0,0,0,1,1
"Washington, Duane",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Smith, Jalen",Forward-Center,32,3,46:40,12,15,0.8,4,4,1,0.727,4,7,0.571,14,4,1,1,5,8,1,1.75,3.75,0.75,0.25,1.25,3.5,1,1,3,0.25,1,4
"Wiggins, Aaron",Guard,258,39,607:54,103,171,0.602,30,54,0.556,0.624,22,29,0.759,102,24,21,5,55,5.733,0.533,0.644,3.8,0.867,0.111,1.222,2.267,0.667,0.489,2.289,0.467,1.2,45
"Castleton, Colin",Center,0,0,00:00,0,0,0.667,0,0,,0.667,0,0,1,0,0,0,0,0,3.2,0.2,0.8,1.8,0.6,0,1.2,1.8,0,0.8,1.2,0,0,0
"Nance, Pete",Forward,0,0,04:09,0,2,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"Harper Jr., Ron",Guard-Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"Haliburton, Tyrese",Guard,114,54,143:26,36,73,0.493,21,45,0.467,0.536,21,24,0.875,16,11,7,2,3,28.5,2.75,6,18.25,13.5,0.5,0.75,4,5.25,5.25,9,1.75,11.25,4
"Horton-Tucker, Talen",Guard,32,16,81:44,9,27,0.333,4,15,0.267,0.417,10,10,1,12,7,4,3,10,8,1.75,2.5,6.75,4,0.75,2.5,3,1,2.5,2.25,1,3.75,4
"Milton, Shake",Guard-Forward,178,50,486:24,64,157,0.408,14,53,0.264,0.481,36,44,0.818,49,28,16,5,44,4.811,0.757,1.189,4.243,1.351,0.135,1.189,1.324,0.378,0.973,1.73,0.432,1.432,37
"Allen, Grayson",Guard,41,13,133:12,16,30,0.533,5,13,0.385,0.647,4,5,0.8,18,4,3,1,10,10.25,1,1.25,7.5,3.25,0.25,2.5,4.5,1.25,1,4,0.75,3.25,4
"Bitadze, Goga",Center-Forward,21,7,76:41,8,14,0.571,0,1,0,0.615,5,10,0.5,14,2,5,7,9,7,0.667,3.333,4.667,2.333,2.333,3,4.667,0,1.667,2.667,1.667,0.333,3
"Carter, Jevon",Guard,5,1,24:03,2,3,0.667,1,2,0.5,1,0,0,0.6,2,2,1,0,2,2.5,1,0,1.5,0.5,0,1,1,0.5,0,1,0.5,1,2
"Graham, Devonte'",Guard,35,19,87:36,11,28,0.393,7,20,0.35,0.5,6,8,0.75,13,3,3,1,4,3.5,0.3,0.8,2.8,1.9,0.1,0.4,1.3,0.7,0.6,1.1,0.3,2,10
"Diallo, Hamidou",Guard,2,1,04:45,1,2,0.5,0,0,,0.5,0,0,,2,1,2,0,1,1,0.5,0,1,0.5,0,0.5,1,0,0,0.5,1,0,2
"DiVincenzo, Donte",Guard,606,113,1143:33,211,468,0.451,140,335,0.418,0.534,44,60,0.733,156,53,57,15,93,12.367,1.082,1.224,9.551,2.306,0.306,1.898,3.184,2.857,0.898,4.306,1.163,6.837,49
"Huerter, Kevin",Guard-Forward,478,118,1093:59,180,402,0.448,90,247,0.364,0.581,28,36,0.778,166,28,31,17,99,10.864,0.636,0.818,9.136,2.682,0.386,2.25,3.773,2.045,0.636,4.091,0.705,5.614,44
"Mykhailiuk, Svi",Guard-Forward,0,0,08:35,0,1,0,0,1,0,0.455,0,0,0.5,1,2,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,1,1
"Vanderbilt, Jarred",Forward,0,0,00:00,0,0,0.518,0,0,0.296,0.586,0,0,0.667,0,0,0,0,0,5.172,0.966,1.241,3.931,1.241,0.172,1.483,4.759,0.276,0.828,2.034,1.241,0.931,0
"Williams, Kenrich",Guard-Forward,168,47,558:47,68,145,0.469,29,75,0.387,0.557,3,10,0.3,108,15,23,5,52,4.541,0.405,0.27,3.919,1.27,0.135,1.405,2.919,0.784,0.081,1.838,0.622,2.027,37
"Trent Jr., Gary",Guard-Forward,17,2,51:39,5,15,0.333,4,7,0.571,0.125,3,4,0.75,2,0,1,0,1,8.5,0,2,7.5,1,0,0.5,1,2,1.5,2.5,0.5,3.5,2
"Robinson, Duncan",Forward,594,128,1238:26,206,456,0.452,124,307,0.404,0.55,58,66,0.879,111,62,27,8,102,13.2,1.378,1.467,10.133,2.844,0.178,2.267,2.467,2.756,1.289,4.578,0.6,6.822,45
"Watanabe, Yuta",Guard-Forward,6,0,24:23,2,7,0.286,2,5,0.4,0,0,0,0.667,3,0,0,0,6,3,0,0,3.5,0,0,3,1.5,1,0,1,0,2.5,2
"Tyson, Hunter",Forward,2,1,26:48,1,7,0.143,0,6,0,1,0,0,,6,2,0,0,6,0.222,0.222,0,0.778,0.111,0,0.667,0.667,0,0,0.111,0,0.667,9
"Jemison, Trey",Center,5,0,15:03,2,2,1,0,0,,1,1,1,1,4,1,1,1,2,1.667,0.333,0.333,0.667,0,0.333,0.667,1.333,0,0.333,0.667,0.333,0,3
"Little, Nassir",Forward-Guard,20,1,48:53,6,10,0.6,2,6,0.333,1,6,6,1,10,1,2,1,3,6.667,0.333,2,3.333,0.333,0.333,1,3.333,0.667,2,2,0.667,2,3
"White, Coby",Guard,22,6,65:11,9,23,0.391,2,11,0.182,0.583,2,3,0.667,4,4,1,1,2,11,2,1.5,11.5,3,0.5,1,2,1,1,4.5,0.5,5.5,2
"Black, Rechon",Forward,30,7,112:31,10,21,0.476,4,9,0.444,0.5,6,10,0.6,20,2,4,4,12,1.765,0.118,0.588,1.235,0.412,0.235,0.706,1.176,0.235,0.353,0.588,0.235,0.529,17
"Hinton, Nate",Guard-Forward,14,2,34:21,5,11,0.455,4,5,0.8,0.167,0,0,,8,2,0,1,7,1.75,0.25,0,1.375,0.25,0.125,0.875,1,0.5,0,0.625,0,0.625,8
"Dennis, Dexter",Guard,22,4,29:52,10,19,0.526,1,8,0.125,0.818,1,3,0.333,9,3,0,1,1,5.5,0.75,0.75,4.75,1,0.25,0.25,2.25,0.25,0.25,2.5,0,2,4
"Butler, Jared",Guard,78,31,128:12,28,50,0.56,10,24,0.417,0.692,12,15,0.8,11,10,8,2,14,4.588,0.588,0.882,2.941,1.824,0.118,0.824,0.647,0.588,0.706,1.647,0.471,1.412,17
"Dort, Luguentz",Guard,483,59,1309:18,162,372,0.435,83,216,0.384,0.506,76,94,0.809,177,42,38,34,139,10.5,0.913,2.043,8.087,1.283,0.739,3.022,3.848,1.804,1.652,3.522,0.826,4.696,46
"Petrusev, Filip",Center,3,0,09:18,1,2,0.5,0,0,,0.5,1,2,0.5,1,0,0,0,1,1,0,0.667,0.667,0,0,0.333,0.333,0,0.333,0.333,0,0,3
"Edwards, Kessler",Forward,46,8,146:21,17,43,0.395,9,26,0.346,0.471,3,4,0.75,22,1,2,3,11,1.484,0.032,0.129,1.387,0.258,0.097,0.355,0.71,0.29,0.097,0.548,0.065,0.839,31
"Brown, Moses",Center,0,0,01:39,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"Bernard, Jules",Guard,4,2,21:00,2,10,0.2,0,7,0,0.667,0,0,,4,1,0,0,4,0.8,0.2,0,2,0.4,0,0.8,0.8,0,0,0.4,0,1.4,5
"Freeman, Javon",Guard,0,0,00:00,0,0,0.333,0,0,,0.333,0,0,,0,0,0,0,0,1,0,0,1.5,0,0,0,0.5,0,0,0.5,0,0,0
"Preston, Jason",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Miller, Jordan",Forward,7,0,16:03,3,5,0.6,1,1,1,0.5,0,0,,3,1,0,0,2,1.75,0.25,0,1.25,0,0,0.5,0.75,0.25,0,0.75,0,0.25,4
"Williams, Vince",Guard-Forward,3,2,28:42,1,5,0.2,1,5,0.2,0.551,0,0,0.81,8,1,0,0,5,1,0.333,0,1.667,0.667,0,1.667,2.667,0.333,0,0.333,0,1.667,3
"Joe, Isaiah",Guard,405,52,882:42,139,301,0.462,95,224,0.424,0.571,32,38,0.842,112,28,29,13,55,8.617,0.596,0.809,6.404,1.106,0.277,1.17,2.383,2.021,0.681,2.957,0.617,4.766,47
"Nembhard, Andrew",Guard,21,11,47:33,9,21,0.429,1,4,0.25,0.471,2,3,0.667,5,4,2,0,2,7,1.333,1,7,3.667,0,0.667,1.667,0.333,0.667,3,0.667,1.333,3
"Johnson, Keyontae",Forward,9,4,47:43,4,11,0.364,1,2,0.5,0.333,0,0,,6,3,0,0,3,1.5,0.5,0,1.833,0.667,0,0.5,1,0.167,0,0.667,0,0.333,6
"Lawson, A.J.",Guard,92,13,213:11,34,76,0.447,12,38,0.316,0.579,12,17,0.706,28,10,9,3,17,4.182,0.455,0.773,3.455,0.591,0.136,0.773,1.273,0.545,0.545,1.545,0.409,1.727,22
"Nesmith, Aaron",Guard-Forward,36,3,74:25,13,25,0.52,4,12,0.333,0.692,6,11,0.545,10,3,4,3,11,12,1,3.667,8.333,1,1,3.667,3.333,1.333,2,4.333,1.333,4,3
"Garland, Darius",Guard,93,25,146:35,32,70,0.457,6,18,0.333,0.5,23,27,0.852,10,15,7,1,4,23.25,3.75,6.75,17.5,6.25,0.25,1,2.5,1.5,5.75,8,1.75,4.5,4
"Duke, David",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Swider, Cole",Forward,23,3,44:08,9,21,0.429,5,15,0.333,0.667,0,0,,2,3,1,1,2,2.556,0.333,0,2.333,0.333,0.111,0.222,0.222,0.556,0,1,0.111,1.667,9
"Rhoden, Jared",Guard,5,0,07:11,2,3,0.667,1,2,0.5,1,0,0,1,0,1,0,0,1,5,1,0,3,0,0,1,0,1,0,2,0,2,1
"Bey, Saddiq",Forward,62,8,121:40,21,37,0.568,8,19,0.421,0.722,12,17,0.706,25,3,5,1,5,15.5,0.75,4.25,9.25,2,0.25,1.25,6.25,2,3,5.25,1.25,4.75,4
"Williams, Jeenathan",Guard-Forward,25,3,54:51,10,23,0.435,1,3,0.333,0.45,4,5,0.8,6,1,2,0,5,3.571,0.143,0.714,3.286,0.429,0,0.714,0.857,0.143,0.571,1.429,0.286,0.429,7
"Peterson, Drew",Forward,3,1,02:33,1,1,1,1,1,1,,0,0,,0,0,0,0,1,3,0,0,1,1,0,1,0,1,0,1,0,1,1
"Banton, Dalano",Forward,0,0,03:32,0,1,0,0,0,0.143,0,0,0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"Bassey, Charles",Center-Forward,63,21,205:17,29,40,0.725,0,1,0,0.744,5,6,0.833,76,15,8,17,31,3.316,0.789,0.316,2.105,1.105,0.895,1.632,4,0,0.263,1.526,0.421,0.053,19
"Queen, Trevelin",Guard,0,0,00:00,0,0,0.389,0,0,0.188,0.55,0,0,0.75,0,0,0,0,0,3.333,0.583,1,3,1.5,0.417,1.167,1.5,0.25,0.75,1.167,0.583,1.333,0
"Mensah, Nathan",Center,29,9,274:46,10,23,0.435,0,0,,0.435,9,12,0.75,59,13,6,14,58,1.381,0.619,0.571,1.095,0.429,0.667,2.762,2.81,0,0.429,0.476,0.286,0,21
"Queta, Neemias",Center,0,0,00:00,0,0,0.586,0,0,,0.586,0,0,0.75,0,0,0,0,0,4.619,0.381,0.952,3.333,0.524,0.667,2,4.286,0,0.714,1.952,0.333,0,0
"Nowell, Markquis",Guard,0,0,00:00,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,2,0,2,1,2,0,0,2,0,2,0,1,0,0
"Pickett, Jalen",Guard,33,12,96:54,12,28,0.429,7,20,0.35,0.625,2,2,1,11,6,3,0,8,2.063,0.375,0.125,1.75,0.75,0,0.5,0.688,0.438,0.125,0.75,0.188,1.25,16
"Slawson, Jalen",Forward,4,2,18:41,2,3,0.667,0,1,0,1,0,0,,4,2,0,1,3,0.8,0.4,0,0.6,0.4,0.2,0.6,0.8,0,0,0.4,0,0.2,5
"Gates, Kaiser",Forward,0,0,07:26,0,4,0,0,2,0,0,0,0,,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,1
"Green, AJ",Guard,92,16,209:29,31,73,0.425,26,63,0.413,0.5,4,4,1,22,1,0,1,24,3.286,0.036,0.143,2.607,0.571,0.036,0.857,0.786,0.929,0.143,1.107,0,2.25,28
"Wagner, Franz",Forward,59,9,102:34,25,52,0.481,6,20,0.3,0.594,3,6,0.5,16,2,5,0,6,19.667,0.667,2,17.333,3,0,2,5.333,2,1,8.333,1.667,6.667,3
"Samanic, Luka",Forward,0,1,09:30,0,3,0,0,2,0,0,0,0,0.824,3,1,0,0,1,0,0.5,0,1.5,0.5,0,0.5,1.5,0,0,0,0,1,2
"Hayes, Killian",Guard,41,16,100:27,16,37,0.432,3,11,0.273,0.5,6,9,0.667,9,3,4,3,3,10.25,0.75,2.25,9.25,4,0.75,0.75,2.25,0.75,1.5,4,1,2.75,4
"Maledon, Theo",Guard,54,28,200:04,19,66,0.288,5,30,0.167,0.389,11,12,0.917,23,15,7,0,18,4.154,1.154,0.923,5.077,2.154,0,1.385,1.769,0.385,0.846,1.462,0.538,2.308,13
"Cazalon, Malcolm",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bitim, Onuralp",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gill, Anthony",Forward,61,11,156:00,23,46,0.5,3,12,0.25,0.588,12,16,0.75,36,12,4,6,12,2.259,0.444,0.593,1.704,0.407,0.222,0.444,1.333,0.111,0.444,0.852,0.148,0.444,27
"Vincent, Gabe",Guard,0,0,00:00,0,0,0.375,0,0,0.118,0.667,0,0,0.5,0,0,0,0,0,5.4,0.4,0.4,6.4,3,0,2.4,1,0.4,0.2,2.4,1.2,3.4,0
"Avdija, Deni",Forward,582,184,1285:49,216,432,0.5,46,121,0.38,0.547,104,137,0.759,289,83,41,20,116,12.383,1.766,2.915,9.191,3.915,0.426,2.468,6.149,0.979,2.213,4.596,0.872,2.574,47
"Vassell, Devin",Guard-Forward,791,154,1351:54,290,622,0.466,104,288,0.361,0.557,107,134,0.799,154,59,48,10,47,18.395,1.372,3.116,14.465,3.581,0.233,1.093,3.581,2.419,2.488,6.744,1.116,6.698,43
"Lewis, Kira",Guard,44,18,145:05,16,52,0.308,2,20,0.1,0.438,10,11,0.909,14,8,5,1,9,2.75,0.5,0.688,3.25,1.125,0.063,0.563,0.875,0.125,0.625,1,0.313,1.25,16
"Garuba, Usman",Forward,0,1,06:03,0,1,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,2
"Highsmith, Haywood",Forward,206,41,719:33,74,170,0.435,39,100,0.39,0.5,19,24,0.792,99,23,32,18,67,6.059,0.676,0.706,5,1.206,0.529,1.971,2.912,1.147,0.559,2.176,0.941,2.941,34
"Pokusevski, Aleksej",Center,8,5,47:43,3,13,0.231,1,9,0.111,0.5,1,2,0.5,9,3,0,1,5,1,0.375,0.25,1.625,0.625,0.125,0.625,1.125,0.125,0.125,0.375,0,1.125,8
"Krejci, Vit",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Drell, Henri",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Johnson, Cameron",Forward,31,2,54:24,11,24,0.458,6,13,0.462,0.455,3,4,0.75,10,2,3,0,4,15.5,1,2,12,1,0,2,5,3,1.5,5.5,1.5,6.5,2
"Williamson, Zion",Forward,836,177,1150:45,332,563,0.59,4,11,0.364,0.594,168,252,0.667,208,99,37,14,92,22,2.605,6.632,14.816,4.658,0.368,2.421,5.474,0.105,4.421,8.737,0.974,0.289,38
"Morant, Ja",Guard,0,0,00:00,0,0,0.471,0,0,0.275,0.555,0,0,0.813,0,0,0,0,0,25.111,3,7.111,18.889,8.111,0.556,2.111,5.556,1.556,5.778,8.889,0.778,5.667,0
"Barrett, RJ",Forward-Guard,747,108,1203:37,269,579,0.465,61,180,0.339,0.521,148,194,0.763,203,70,20,14,83,19.154,1.795,4.974,14.846,2.769,0.359,2.128,5.205,1.564,3.795,6.897,0.513,4.615,39
"Hayes, Jaxson",Center-Forward,23,2,53:01,9,9,1,0,0,0,1,5,8,0.625,5,3,2,4,4,5.75,0.75,2,2.25,0.5,1,1,1.25,0,1.25,2.25,0.5,0,4
"Wong, Isaiah",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Wilson, Jalen",Forward,0,0,00:00,0,0,0.5,0,0,0.25,0.583,0,0,1,0,0,0,0,0,4.455,0.273,1.364,2.909,0.818,0.091,0.818,2.182,0.182,1.364,1.455,0.273,0.727,0
"Braun, Christian",Guard,349,70,923:01,128,285,0.449,33,91,0.363,0.49,60,82,0.732,174,34,18,18,75,7.122,0.694,1.673,5.816,1.429,0.367,1.531,3.551,0.673,1.224,2.612,0.367,1.857,49
"McBride, Miles",Guard,187,32,378:52,67,147,0.456,41,90,0.456,0.456,12,15,0.8,25,12,17,3,39,5.194,0.333,0.417,4.083,0.889,0.083,1.083,0.694,1.139,0.333,1.861,0.472,2.5,36
