Name,Team,Position,Points,Assists,Minutes,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Two Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Turnovers,Steals,Blocks,Personal Fouls,Points per Match,Turnovers per Match,Free Throws Attempted per Match,Field Goals Attempted per Match,Assists per Match,Blocks per Match,Personal Fouls per Match,Rebounds per Match,Three Points Made per Match,Free Throws Made per Match,Field Goals Made per Match,Steals per Match,Three Points Attempted per Match,Games Played
"Powell, Dwight",Forward-Center,179,69,639:23,61,86,0.709,1,2,0.5,0.714,56,77,0.727,156,24,22,15,88,4.366,0.585,1.878,2.098,1.683,0.366,2.146,3.805,0.024,1.366,1.488,0.537,0.049,41
"Lowry, Kyle",Guard,303,147,1037:02,103,242,0.426,62,161,0.385,0.506,35,42,0.833,129,53,39,15,94,8.189,1.432,1.135,6.541,3.973,0.405,2.541,3.486,1.676,0.946,2.784,1.054,4.351,37
"Rubio, Ricky",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Caldwell-Pope, Kentavious",Guard,474,112,1521:54,167,373,0.448,69,182,0.379,0.513,71,78,0.91,111,48,65,22,93,10.085,1.021,1.66,7.936,2.383,0.468,1.979,2.362,1.468,1.511,3.553,1.383,3.872,47
"McGee, JaVale",Center-Forward,169,14,295:01,72,111,0.649,0,3,0,0.667,25,41,0.61,108,31,9,19,41,4.694,0.861,1.139,3.083,0.389,0.528,1.139,3,0,0.694,2,0.25,0.083,36
"Hardaway Jr., Tim",Guard-Forward,825,76,1358:25,281,665,0.423,147,402,0.366,0.51,116,133,0.872,168,44,22,1,66,18.333,0.978,2.956,14.778,1.689,0.022,1.467,3.733,3.267,2.578,6.244,0.489,8.933,45
"Bullock, Reggie",Guard-Forward,44,9,165:34,16,38,0.421,11,28,0.393,0.5,1,1,1,24,5,3,2,9,2.444,0.278,0.056,2.111,0.5,0.111,0.5,1.333,0.611,0.056,0.889,0.167,1.556,18
"Conley, Mike",Guard,466,271,1253:40,158,351,0.45,100,226,0.442,0.464,50,54,0.926,119,46,42,9,72,10.837,1.07,1.256,8.163,6.302,0.209,1.674,2.767,2.326,1.163,3.674,0.977,5.256,43
"Temple, Garrett",Guard-Forward,2,2,03:50,1,1,1,0,0,0.333,1,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,1
"Grant, Jerami",Forward,102,13,147:05,35,79,0.443,15,30,0.5,0.408,17,23,0.739,18,7,2,3,4,25.5,1.75,5.75,19.75,3.25,0.75,1,4.5,3.75,4.25,8.75,0.5,7.5,4
"Davis, Anthony",Forward-Center,79,15,126:49,31,58,0.534,0,1,0,0.544,17,20,0.85,52,11,5,12,10,19.75,2.75,5,14.5,3.75,3,2.5,13,0,4.25,7.75,1.25,0.25,4
"Covington, Robert",Forward,14,5,65:28,5,13,0.385,4,9,0.444,0.25,0,0,0.846,15,2,7,4,6,3.5,0.5,0,3.25,1.25,1,1.5,3.75,1,0,1.25,1.75,2.25,4
"Harris, Tobias",Forward,98,11,155:43,38,65,0.585,8,14,0.571,0.588,14,15,0.933,24,5,4,1,8,24.5,1.25,3.75,16.25,2.75,0.25,2,6,2,3.5,9.5,1,3.5,4
"Smith, Ish",Guard,126,128,649:16,60,137,0.438,3,7,0.429,0.438,3,4,0.75,68,42,13,4,42,3.231,1.077,0.103,3.513,3.282,0.103,1.077,1.744,0.077,0.077,1.538,0.333,0.179,39
"Irving, Kyrie",Guard,680,143,899:30,250,530,0.472,78,190,0.411,0.506,102,114,0.895,137,44,36,12,50,25.185,1.63,4.222,19.63,5.296,0.444,1.852,5.074,2.889,3.778,9.259,1.333,7.037,27
"Fournier, Evan",Guard-Forward,12,3,38:38,4,20,0.2,2,15,0.133,0.4,2,2,1,4,1,4,0,4,4,0.333,0.667,6.667,1,0,1.333,1.333,0.667,0.667,1.333,1.333,5,3
