Rank,Player Name,Player ID,Qualified Receiving Leader,Games Played,Receiving Targets,Receptions,Receiving Yards,Receiving Touchdowns,Targets Per Game,Receiving Yards Per Game,Yards Per Reception,1st Down Pct. on Receptions,Average Yards at Catch,Average Yards After Catch,Offensive Receiver Drop,Broken Tackles
171t,Chuba Hubbard,6393dda573e62c17f260cea8,1,17,44,39,233,0,2.58823529,13.70588235,5.97435897,23.076923,-0.92307692,6.8974359,1,22
171t,Aaron Jones,6393e1676dadddc838244c31,0,11,43,30,233,1,3.90909091,21.18181818,7.76666667,43.333333,-1.26666667,9.03333333,4,17
173t,KhaDarel Hodge,6393e0a1c7099552f7479883,0,17,23,14,232,0,1.35294118,13.64705882,16.57142857,92.857143,10.71428571,5.85714286,0,1
173t,Alex Erickson,639638b540970877a4310a4a,0,8,29,16,232,1,3.625,29,14.5,75,10.875,3.625,1,0
175,Isaiah Hodgins,6393deec6dadddc83823d8c9,0,17,33,21,230,3,1.94117647,13.52941176,10.95238095,57.142857,7.38095238,3.57142857,0,1
176,Xavier Gipson,6526d36a5906546d2e988670,0,17,38,21,229,0,2.23529412,13.47058824,10.9047619,42.857143,5.71428571,5.19047619,1,4
177,Javonte Williams,6393ddc973e62c17f260e8d0,1,16,58,47,228,2,3.625,14.25,4.85106383,21.276596,-1.59574468,6.44680851,4,17
178,Jamal Agnew,6396388e8850e971e42c151c,0,11,21,14,225,1,1.90909091,20.45454545,16.07142857,57.142857,10.64285714,5.42857143,0,0
179,Cedric Tillman,6526d38614f02fc45f541433,0,14,44,21,224,0,3.14285714,16,10.66666667,57.142857,6.47619048,4.19047619,1,2
180,AJ Dillon,6393dedf6dadddc83823d1ad,0,15,28,22,223,0,1.86666667,14.86666667,10.13636364,45.454545,-0.36363636,10.5,1,13
