league_name,country_name,link
English Premier League 2019/20,,/results/epl-2019
Rugby World Cup 2019,,/results/rugby-world-cup-2019
Copa America 2019,,/results/copa-america-2019
IIHF Ice Hockey World Championship 2019,,/results/iihf-ice-hockey-world-championship-2019
Indian Premier League 2019,,/results/ipl-2019
VFL 2019,,/results/vfl-2019
FIFA Women's World Cup 2019,,/results/fifa-womens-world-cup-2019
Netball World Cup 2019,,/results/netball-world-cup-2019
QAFL 2019,,/results/qafl-2019
WNBA 2019,,/results/wnba-2019
WAFL 2019,,/results/wafl-2019
SANFL 2019,,/results/sanfl-2019
ICC Cricket World Cup 2019,,/results/icc-cricket-world-cup-2019
Super Netball 2019,,/results/super-netball-2019
Super Rugby 2019,,/results/super-rugby-2019
NRL 2019,,/results/nrl-2019
AFL 2019,,/results/afl-2019
AFLW 2019,,/results/aflw-2019
W-League 2018/19,,/results/wleague-2018
NHL 2018/19,,/results/nhl-2018
UEFA Champions League 2018/19,,/results/champions-league-2018
WNBL 2018/19,,/results/wnbl-2018
NBA 2018/19,,/results/nba-2018
Premiership Rugby 2018/19,,/results/premiership-rugby-2018
BBL 2018/19,,/results/bbl-2018
La Liga 2018/19,,/results/la-liga-2018
NZ Provincial Rugby 2018,,/results/nz-provincial-rugby-2018
Ligue 1 2018/19,,/results/ligue-1-2018
Serie A 2018/19,,/results/serie-a-2018
6 Nations 2019,,/results/6-nations-2019
A-League 2018/19,,/results/aleague-2018
Bundesliga 2018/19,,/results/bundesliga-2018
English Premier League 2018/19,,/results/epl-2018
NFL 2018,,/results/nfl-2018
SANFL 2018,,/results/sanfl-2018
WNBA 2018,,/results/wnba-2018
Indian Premier League 2018,,/results/ipl-2018
QAFL 2018,,/results/qafl-2018
WAFL 2018,,/results/wafl-2018
VFL 2018,,/results/vfl-2018
6 Nations 2018,,/results/6-nations-2018
Super Netball 2018,,/results/super-netball-2018
FIFA World Cup 2018,,/results/fifa-world-cup-2018
Super Rugby 2018,,/results/super-rugby-2018
AFL 2018,,/results/afl-2018
AFLW 2018,,/results/aflw-2018
NRL 2018,,/results/nrl-2018
W-League 2017/18,,/results/wleague-2017
Premiership Rugby 2017/18,,/results/premiership-rugby-2017
WNBL 2017/18,,/results/wnbl-2017
BBL 2017/18,,/results/bbl-2017
UEFA Champions League 2017/18,,/results/champions-league-2017
NBL 2017/18,,/results/nbl-2017
Serie A 2017/18,,/results/serie-a-2017
A-League 2017/18,,/results/aleague-2017
Rugby League World Cup 2017,,/results/rugby-league-world-cup-2017
English Premier League 2017/18,,/results/epl-2017
NFL 2017,,/results/nfl-2017
ICC Champions Trophy 2017,,/results/icc-champions-trophy-2017
Indian Premier League 2017,,/results/ipl-2017
AFLW 2017,,/results/aflw-2017
Super Rugby 2017,,/results/super-rugby-2017
6 Nations 2017,,/results/6-nations-2017
NRL 2017,,/results/nrl-2017
AFL 2017,,/results/afl-2017
BBL 2016/17,,/results/bbl-2016
NFL 2016,,/results/nfl-2016
A-League 2016/17,,/results/aleague-2016
English Premier League 2016/17,,/results/epl-2016
Copa America 2016,,/results/copa-america-2016
Indian Premier League 2016,,/results/ipl-2016
UEFA Euro 2016,,/results/uefa-euro-2016
ICC World T20 2016,,/results/icc-world-t20-2016
Super Rugby 2016,,/results/super-rugby-2016
6 Nations 2016,,/results/6-nations-2016
