ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Labadze I.,Weinzierl J.,105,342,6,4,4,6,6,4,,,,,2,1,Completed,1.333,3,1.28,3.45,1.25,3,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Davydenko N.,Beck K.,36,72,6,4,6,2,,,,,,,2,0,Completed,1.25,3.5,1.25,3.65,1.25,3,1.286,3.25,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Vahaly B.,Carlsen K.,75,68,7,5,5,7,6,3,,,,,2,1,Completed,1.727,2,1.68,2.1,1.6,1.9,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Krajicek R.,Gambill J.M.,77,38,7,5,3,6,6,3,,,,,2,1,Completed,1.833,1.833,1.92,1.82,1.75,1.75,1.833,1.833,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/03,International,Outdoor,Clay,1st Round,3,Dupuis A.,Mutis O.,82,80,6,3,6,1,,,,,,,2,0,Completed,1.833,1.833,1.9,1.85,1.75,1.75,1.833,1.833,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,1st Round,3,Costa A.,Zimonjic N.,9,725,6,7,6,1,6,3,,,,,2,1,Completed,1.111,6,,,1.1,4.5,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Davydenko N.,Lee H.T.,36,60,6,4,6,3,,,,,,,2,0,Completed,1.364,3,1.4,2.8,1.3,2.7,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Verkerk M.,Hrbaty D.,56,63,6,4,7,5,,,,,,,2,0,Completed,1.727,2,1.75,2,1.5,2.1,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Krajicek R.,Vahaly B.,77,75,6,2,2,6,6,3,,,,,2,1,Completed,1.571,2.25,1.55,2.35,1.45,2.2,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Ancic M.,Lisnard J.R.,78,101,6,4,7,5,,,,,,,2,0,Completed,2.25,1.571,2.4,1.53,2,1.55,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Saretta F.,Labadze I.,71,105,6,1,6,1,,,,,,,2,0,Completed,1.333,3.25,1.33,3.15,1.2,3.3,1.333,3
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Roddick A.,Kohlschreiber P.,6,354,6,3,6,4,,,,,,,2,0,Completed,1.1,6.5,1.08,6.75,1.03,5.5,1.1,6
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Sanchez D.,Sanguinetti D.,57,87,6,4,6,4,,,,,,,2,0,Completed,1.364,3,1.33,3.15,1.35,2.5,1.333,3
30,St. Polten,Internationaler Raiffeisen Grand Prix,21/05/03,International,Outdoor,Clay,2nd Round,3,Dupuis A.,Costa A.,82,9,6,4,2,6,6,2,,,,,2,1,Completed,,,,,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,22/05/03,International,Outdoor,Clay,Quarterfinals,3,Roddick A.,Krajicek R.,6,77,7,5,6,1,,,,,,,2,0,Completed,1.286,3.5,1.36,3,1.35,2.5,1.4,2.75
30,St. Polten,Internationaler Raiffeisen Grand Prix,22/05/03,International,Outdoor,Clay,Quarterfinals,3,Verkerk M.,Saretta F.,56,71,7,6,7,6,,,,,,,2,0,Completed,2,1.727,1.85,1.9,1.9,1.6,1.8,1.9
30,St. Polten,Internationaler Raiffeisen Grand Prix,22/05/03,International,Outdoor,Clay,Quarterfinals,3,Sanchez D.,Ancic M.,57,78,6,1,6,4,,,,,,,2,0,Completed,1.4,2.75,1.36,3,1.4,2.3,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,22/05/03,International,Outdoor,Clay,Quarterfinals,3,Davydenko N.,Dupuis A.,36,82,7,5,6,1,,,,,,,2,0,Completed,1.444,2.625,1.55,2.35,1.4,2.3,1.444,2.625
30,St. Polten,Internationaler Raiffeisen Grand Prix,23/05/03,International,Outdoor,Clay,Semifinals,3,Davydenko N.,Verkerk M.,36,56,7,5,6,1,,,,,,,2,0,Completed,1.615,2.2,1.68,2.1,1.55,2,1.615,2.2
30,St. Polten,Internationaler Raiffeisen Grand Prix,23/05/03,International,Outdoor,Clay,Semifinals,3,Roddick A.,Sanchez D.,6,57,6,2,2,0,,,,,,,1,0,Retired,1.4,2.75,1.42,2.75,1.4,2.3,1.364,2.875
30,St. Polten,Internationaler Raiffeisen Grand Prix,24/05/03,International,Outdoor,Clay,The Final,3,Roddick A.,Davydenko N.,6,36,6,3,6,2,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.55,2,1.444,2.625
