ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,B&WW,B&WL,CBW,CBL,IWW,IWL,SBW,SBL
22,Estoril ,Estoril Open,09/04/03,International Series,Outdoor,Clay,2nd Round,3,Blanco G.,van Lottum J.,132,105,6,1,6,3,,,,,,,2,0,Completed,1.667,2.1,1.75,1.75,1.85,1.9,1.6,1.9,1.667,2.1
22,Estoril ,Estoril Open,09/04/03,International Series,Outdoor,Clay,2nd Round,3,Calleri A.,Nieminen J.,37,32,6,3,6,4,,,,,,,2,0,Completed,1.5,2.5,1.45,2.25,1.5,2.5,1.5,2.1,1.4,2.75
22,Estoril ,Estoril Open,09/04/03,International Series,Outdoor,Clay,2nd Round,3,Gonzalez F.,Acasuso J.,23,45,6,1,6,3,,,,,,,2,0,Completed,1.5,2.5,1.56,2,1.6,2.25,1.55,2,1.571,2.25
22,Estoril ,Estoril Open,09/04/03,International Series,Outdoor,Clay,2nd Round,3,Robredo T.,Levy H.,25,232,6,3,6,1,,,,,,,2,0,Completed,1.222,4,1.13,4.25,1.22,4,1.2,3.3,1.25,3.5
22,Estoril ,Estoril Open,10/04/03,International Series,Outdoor,Clay,2nd Round,3,Davydenko N.,Waske A.,61,121,6,3,7,6,,,,,,,2,0,Completed,1.36,3,1.29,2.87,,,1.35,2.5,1.4,2.75
22,Estoril ,Estoril Open,10/04/03,International Series,Outdoor,Clay,2nd Round,3,Kafelnikov Y.,Voinea A.,28,84,6,3,6,0,,,,,,,2,0,Completed,1.571,2.25,1.37,2.45,1.5,2.5,1.4,2.3,1.5,2.5
22,Estoril ,Estoril Open,10/04/03,International Series,Outdoor,Clay,2nd Round,3,Lopez F.,Mota B.,62,312,6,3,6,4,,,,,,,2,0,Completed,,,1.07,5.4,,,1.1,4.5,,
22,Estoril ,Estoril Open,10/04/03,International Series,Outdoor,Clay,2nd Round,3,Mirnyi M.,Hanescu V.,31,150,3,6,6,3,6,4,,,,,2,1,Completed,1.444,2.625,1.37,2.42,1.45,2.65,1.5,2.1,1.833,1.833
22,Estoril ,Estoril Open,11/04/03,International Series,Outdoor,Clay,Quarterfinals,3,Calleri A.,Gonzalez F.,37,23,7,5,6,1,,,,,,,2,0,Completed,2,1.727,2.1,1.51,1.95,1.8,1.85,1.65,2,1.727
22,Estoril ,Estoril Open,11/04/03,International Series,Outdoor,Clay,Quarterfinals,3,Davydenko N.,Kafelnikov Y.,61,28,6,2,6,4,,,,,,,2,0,Completed,2.375,1.533,2.35,1.41,2.55,1.48,2.2,1.45,2.5,1.5
22,Estoril ,Estoril Open,11/04/03,International Series,Outdoor,Clay,Quarterfinals,3,Mirnyi M.,Lopez F.,31,62,7,6,6,4,,,,,,,2,0,Completed,1.833,1.833,1.75,1.75,2,1.75,1.65,1.85,1.833,1.833
22,Estoril ,Estoril Open,11/04/03,International Series,Outdoor,Clay,Quarterfinals,3,Robredo T.,Blanco G.,25,132,6,2,6,3,,,,,,,2,0,Completed,1.25,3.75,1.11,4.5,1.28,3.5,1.25,3,1.2,4
22,Estoril ,Estoril Open,12/04/03,International Series,Outdoor,Clay,Semifinals,3,Calleri A.,Robredo T.,37,25,6,4,6,2,,,,,,,2,0,Completed,1.727,2,1.75,1.75,1.85,1.9,1.75,1.75,1.8,1.909
22,Estoril ,Estoril Open,12/04/03,International Series,Outdoor,Clay,Semifinals,3,Davydenko N.,Mirnyi M.,61,31,6,4,3,6,6,3,,,,,2,1,Completed,2.2,1.615,1.8,1.7,2.05,1.72,1.8,1.7,2.1,1.667
22,Estoril ,Estoril Open,13/04/03,International Series,Outdoor,Clay,The Final,3,Davydenko N.,Calleri A.,61,37,6,4,6,1,,,,,,,2,0,Completed,2.75,1.4,2.3,1.42,3.1,1.35,2.5,1.35,2.875,1.364
